"","Region","Item Code","Model","Yearmonth","model","Volume","Category","var","sigma","low80","high80","low90","high90"
"1","ADE","1234","ETS",2024 May,N(756, 156508),756.214023809337,"High",156508,395.61091997062,249.040824407003,1263.38722321167,105.434060457668,1406.99398716101
"2","ADE","1234","ETS",2024 Jun,N(756, 156508),756.214023809337,"High",156508,395.61091997062,249.040824407003,1263.38722321167,105.434060457668,1406.99398716101
"3","ADE","1234","ETS",2024 Jul,N(756, 156508),756.214023809337,"High",156508,395.61091997062,249.040824407003,1263.38722321167,105.434060457668,1406.99398716101
"4","ADE","1234","ETS",2024 Aug,N(756, 156508),756.214023809337,"High",156508,395.61091997062,249.040824407003,1263.38722321167,105.434060457668,1406.99398716101
"5","ADE","1234","ETS",2024 Sep,N(756, 156508),756.214023809337,"High",156508,395.61091997062,249.040824407003,1263.38722321167,105.434060457668,1406.99398716101
"6","ADE","1234","ETS",2024 Oct,N(756, 156508),756.214023809337,"High",156508,395.61091997062,249.040824407003,1263.38722321167,105.434060457668,1406.99398716101
"7","ADE","1234","ARIMA",2024 May,N(756, 152767),756.279069767442,"High",152767,390.854192762467,255.203994645959,1257.35414488893,113.323922673183,1399.2342168617
"8","ADE","1234","ARIMA",2024 Jun,N(756, 152767),756.279069767442,"High",152767,390.854192762467,255.203994645959,1257.35414488893,113.323922673183,1399.2342168617
"9","ADE","1234","ARIMA",2024 Jul,N(756, 152767),756.279069767442,"High",152767,390.854192762467,255.203994645959,1257.35414488893,113.323922673183,1399.2342168617
"10","ADE","1234","ARIMA",2024 Aug,N(756, 152767),756.279069767442,"High",152767,390.854192762467,255.203994645959,1257.35414488893,113.323922673183,1399.2342168617
"11","ADE","1234","ARIMA",2024 Sep,N(756, 152767),756.279069767442,"High",152767,390.854192762467,255.203994645959,1257.35414488893,113.323922673183,1399.2342168617
"12","ADE","1234","ARIMA",2024 Oct,N(756, 152767),756.279069767442,"High",152767,390.854192762467,255.203994645959,1257.35414488893,113.323922673183,1399.2342168617
"13","ADE","1238","ETS",2024 May,N(1447, 1134131),1446.64964440375,"High",1134131,1064.9558676302,81.3762221018258,2811.92306670567,-305.202757847938,3198.50204665543
"14","ADE","1238","ETS",2024 Jun,N(1447, 1134131),1446.64964440375,"High",1134131,1064.9558676302,81.3762221018258,2811.92306670567,-305.202757847938,3198.50204665543
"15","ADE","1238","ETS",2024 Jul,N(1447, 1134131),1446.64964440375,"High",1134131,1064.9558676302,81.3762221018258,2811.92306670567,-305.202757847938,3198.50204665543
"16","ADE","1238","ETS",2024 Aug,N(1447, 1134131),1446.64964440375,"High",1134131,1064.9558676302,81.3762221018258,2811.92306670567,-305.202757847938,3198.50204665543
"17","ADE","1238","ETS",2024 Sep,N(1447, 1134131),1446.64964440375,"High",1134131,1064.9558676302,81.3762221018258,2811.92306670567,-305.202757847938,3198.50204665543
"18","ADE","1238","ETS",2024 Oct,N(1447, 1134131),1446.64964440375,"High",1134131,1064.9558676302,81.3762221018258,2811.92306670567,-305.202757847938,3198.50204665543
"19","ADE","1238","ARIMA",2024 May,N(1446, 1107016),1445.58139534884,"High",1107016,1052.14827852352,96.7273022816894,2794.43548841599,-285.202522822347,3176.36531352002
"20","ADE","1238","ARIMA",2024 Jun,N(1446, 1107016),1445.58139534884,"High",1107016,1052.14827852352,96.7273022816894,2794.43548841599,-285.202522822347,3176.36531352002
"21","ADE","1238","ARIMA",2024 Jul,N(1446, 1107016),1445.58139534884,"High",1107016,1052.14827852352,96.7273022816894,2794.43548841599,-285.202522822347,3176.36531352002
"22","ADE","1238","ARIMA",2024 Aug,N(1446, 1107016),1445.58139534884,"High",1107016,1052.14827852352,96.7273022816894,2794.43548841599,-285.202522822347,3176.36531352002
"23","ADE","1238","ARIMA",2024 Sep,N(1446, 1107016),1445.58139534884,"High",1107016,1052.14827852352,96.7273022816894,2794.43548841599,-285.202522822347,3176.36531352002
"24","ADE","1238","ARIMA",2024 Oct,N(1446, 1107016),1445.58139534884,"High",1107016,1052.14827852352,96.7273022816894,2794.43548841599,-285.202522822347,3176.36531352002
"25","ADE","1239","ETS",2024 May,N(237, 8549),236.803519692714,"Middle",8549,92.4608025057105,118.268770880393,355.338268505035,84.70549957082,388.901539814608
"26","ADE","1239","ETS",2024 Jun,N(242, 8549),242.118985128771,"Middle",8549,92.4608025057105,123.584236316451,360.653733941092,90.0209650068776,394.217005250665
"27","ADE","1239","ETS",2024 Jul,N(247, 8549),247.434450564829,"Middle",8549,92.4608025057105,128.899701752508,365.96919937715,95.3364304429352,399.532470686723
"28","ADE","1239","ETS",2024 Aug,N(253, 8549),252.749916000887,"Middle",8549,92.4608025057105,134.215167188566,371.284664813207,100.651895878993,404.84793612278
