"","Region","State","RDC Pallet","RDC CBM","NDC Pallet","NDC CBM"
"1","ADE","SA","$208.00","$160.00","$108.00","$83.08"
"2","BRI","QLD","$111.00","$85.38","$108.00","$83.08"
"3","MEL","VIC","","","$108.00","$83.08"
"4","NAT","NAT","$108.00","$83.08","$108.00","$83.08"
"5","PER","WA","$125.00","$96.15","$108.00","$83.08"
"6","SYD","NSW","$294.00","$226.15","$108.00","$83.08"
