Combo,Origin DC,Destination,Average Pallet Freight Cost,Comment
NSW>NSW,NSW,NSW,65,
QLD>QLD,QLD,QLD,85,
QLD>NSW,QLD,NSW,120,
SA>SA,SA,SA,60,
VIC>SA,VIC,SA,150,
VIC>QLD,VIC,QLD,200,
VIC>VIC,VIC,VIC,80,Inc TAS
VIC>WA,VIC,WA,350,
VIC>NSW,VIC,NSW,150,
WA>WA,WA,WA,125,
